#Date	    Price	TTMEPS	PE
20221231	50.77	5.48	9.26
20220930	42.99	5.20	8.27
20220630	51.10	5.11	10.00
20220331	50.06	4.36	11.48
20211231	56.68	3.85	14.72
20210930	40.92	3.36	12.18
20210630	36.92	2.33	15.85
20210331	33.82	1.96	17.26
20201231	33.99	1.71	19.88
20200930	31.80	1.55	20.52
20200630	28.06	2.52	11.14
20200331	27.73	2.80	9.90
20191231	32.94	2.87	11.48
20190930	29.92	2.86	10.46
20190630	35.74	2.19	16.32
20190331	34.73	1.95	17.81
20181231	35.39	1.86	19.03
20180930	35.46	3.95	8.98
20180630	28.94	3.73	7.76
20180331	28.04	3.59	7.81
20171231	28.35	3.51	8.08
20170930	27.70	1.62	17.10
20170630	25.81	1.48	17.44
20170331	26.03	1.46	17.83
20161231	24.47	1.05	23.30
20160630	26.04	1.26	20.67
20160331	21.73	1.35	16.09
20151231	23.42	1.24	18.89
20150930	22.61	1.33	17.00
20150630	23.95	1.41	16.98
20150331	24.64	1.44	17.11
20141231	21.87	1.42	15.40
20140930	20.58	1.62	12.71
20140630	20.48	1.59	12.88
20140331	21.96	3.12	7.04
20131231	20.77	3.14	6.61
20130930	19.33	3.60	5.37
20130630	18.69	3.64	5.14
20130331	19.10	2.09	9.14
20121231	16.45	1.95	8.44
20120930	16.16	1.29	12.52
20120630	14.82	1.34	11.06
20120331	14.45	1.24	11.65
20111231	13.67	1.28	10.68
20110930	11.05	1.45	7.62
20110630	12.74	1.08	11.80
20110331	12.44	1.06	11.74
20101231	10.61	0.99	10.72
20100930	10.30	0.88	11.70
20100630	8.46	0.87	9.73
20160930	25.26	0.99	25.52
20100331	10.07	1.12	8.99
20091231	10.58	1.27	8.33
