#source: National Bureau of Statistics of China https://www.stats.gov.cn/english/
#Month  PMI
202502  51.1
202501  50.1
202412  52.2
202411  50.8
202410  50.8
202409  50.4
202408  50.1
202407  50.2
202406  50.5
202405  51.0
202404  51.7
202403  52.7
202402  50.9
202401  50.9
202312  50.3
202311  50.4
202310  50.7
202309  52.0
202308  51.3
202307  51.1
202306  52.3
202305  52.9
202304  54.4
202303  57.0
202302  56.4
202301  52.9
202212  42.6
202211  47.1
202210  49.0
202209  50.9
202208  51.7
202207  52.5
202206  54.1
202205  48.4
202204  42.7
202203  48.8
202202  51.2
202201  50.1
202112  51.0
202111  52.2
202110  50.8
202109  51.7
202108  48.9
202107  52.4
202106  52.9
202105  54.2
202104  53.8
202103  55.3
202102  51.6
202101  52.8
202012  55.1
202011  55.7
202010  55.3
202009  55.1
202008  55.1
202007  54.5
202006  54.2
202005  53.4
202004  53.4
202003  53.0
202002  28.9
202001  53.0
201912  53.4
201911  53.7
201910  52.0
201909  53.1
201908  53.0
201907  53.1
