#source: S&P Global https://www.pmi.spglobal.com/public
#Month  Actual  Previous
202312  47.6  47.6
202311  47.6  46.5
202310  46.5  47.2
202309  47.2  46.7
202308  46.7  48.6
202307  48.6  49.9
202306  49.9  52.8
202305  52.8  54.1
202304  54.1  53.7
202303  53.7  52.0
202302  52.0  50.3
202301  50.3  49.3
202212  49.3  47.8
202211  47.8  47.3
202210  47.3  48.1
202209  48.1  48.9
202208  48.9  49.9
202207  49.9  52.0
202206  52.0  54.8
202205  54.8  54.9
202204  55.8  54.9
202203  54.9  55.5
202202  55.5  52.3
202201  52.3  53.3
202112  53.3  55.4
202111  55.4  54.2
202110  54.2  56.2
202109  56.2  59.0
202108  59.0  60.2
202107  60.2  59.5
202106  59.5  57.1
202105  57.1  53.8
202104  53.8  53.2
202103  53.2  48.8
202102  48.8  47.8
202101  47.8  47.5
202012  49.1  45.3
202011  45.3  50.0
202010  50.0  50.4
202009  50.4  51.9
202008  51.9  54.9
202007  54.9  48.5
202006  48.5  31.9
202005  31.9  13.6
202004  13.6  29.7
202003  29.7  51.6
202002  51.6  51.3
202001  51.3  50.9
201912  50.9  50.6
201911  50.6  50.6
201910  50.6  50.1
201909  50.1  51.9
201908  51.9  51.8
201907  51.5  51.5
201906  52.2  52.1
201905  51.8  51.6
201904  51.5  51.3
201903  51.6  51.3
201902  51.9  51.4
201901  51.0  50.7
201812  51.1  51.3
201811  52.7  52.4
201810  53.1  52.7
201809  54.1  54.2
201808  54.5  54.4
201807  54.3  54.3
201806  54.9  54.8
201805  54.1  54.1
201804  55.1  55.2
201803  55.2  55.3
201802  57.1  57.5
201801  58.8  58.6
201712  58.1  58.0
201711  57.5  57.5
201710  56.0  55.9
201709  56.7  56.7
201708  55.7  55.8
201707  55.7  55.8
201706  56.3  55.7
201705  56.8  56.8
201704  56.8  56.7
201703  56.4  56.7
201702  56.0  56.0
201701  54.4  54.3
201612  54.4  53.9
201611  53.9  54.1
201610  53.3  53.7
201609  52.6  52.6
201608  52.9  53.3
201607  53.2  52.9
201606  53.1  52.8
201605  53.1  52.9
201604  53.0  53.0
201603  53.1  53.7
201602  53.0  52.7
201601  53.6  53.5
201512  54.3  54.0
201511  54.2  54.4
201510  53.9  54.0
201509  53.6  53.9
201508  54.3  54.1
201507  53.9  53.7
201506  54.2  54.1
201505  53.6  53.4
201504  53.9  53.5
201503  54.0  54.1
201502  53.3  53.5
201501  52.6  52.2
201412  51.4  51.7
201411  51.1  51.4
201410  52.1  52.2
201409  52.0  52.3
