#source - EMU: S&P Global https://www.pmi.spglobal.com/public
#source - Hungary: HALPIM http://logisztika.hu/
#Month  Actual  Forecast  Hungary
202411  45.2  45.2  50.3
202410  46.0  45.9  47.6
202409  45.0  44.8  49.7
202408  45.8  45.6  47.6
202407  45.8  45.6  49.2
202406  45.8  45.6  49.4
202405  47.3  47.4  51.8
202404  45.7  45.6  51.8
202403  46.1  45.7  52.3
202402  46.5  46.6  52.2
202401  46.6  46.6  49.9
202312  44.4  44.2  52.8
202311  44.2  43.8  52.2
202310  43.1  43.0  50.5
202309  43.4  43.4  47.4
202308  43.5  43.7  46.5
202307  42.7  42.7  45.7
202306  43.4  43.6  44.2
202305  44.8  44.6  57.1
202304  45.8  45.5  61.9
202303  47.3  47.1  55.3
202302  48.5  48.5  56.5
202301  48.8  48.8  55.0
202212  47.8  47.8  63.1
202211  47.1  47.3  54.7
202210  46.4  46.6  56.4
202209  48.4  48.5  49.6
202208  49.6  49.7  57.8
202207  49.8  49.6  57.8
202206  52.1  52.0  57.0
202205  54.6  54.4  51.5
202204  55.5  55.3  58.9
202203  56.5  57.0  57.6
202202  58.2  58.4  53.2
202201  58.7  59.0  50.7
202112  58.0  58.0  64.8
202111  58.4  58.6  52.2
202110  58.3  58.5  53.1
202109  58.6  58.7  52.1
202108  61.4  61.5  55.9
202107  62.8  62.6  55.6
202106  63.4  63.1  54.7
202105  63.1  62.8  52.8
202104  62.9  63.3  50.8
202103  62.5  62.4  48.7
202102  57.9  57.7  49.4
202101  54.8  54.7  54.9
202012  55.2  55.5  51.1
202011  53.8  53.6  51.9
202010  54.8  54.4  50.1
202009  53.7  53.7  48.8
202008  51.7  51.7  52.8
202007  51.8  51.1  50.8
202006  47.4  46.9  47.0
202005  39.4  39.5  40.3
202004  33.4  33.6  33.6
202003  44.5  44.7  29.1
202002  49.2  49.1  50.1
202001  47.9  47.8  52.5
201912  46.3  45.9  53.9
201911  46.9  46.6  53.0
201910  45.9  45.7  51.9
201909  45.7  45.6  51.8
201908  47.0  47.0  52.6
201907  46.5  46.4  51.3
201906  47.6  47.8  54.4
201905  47.7  47.7  57.9
201904  47.9  47.8  54.9
201903  47.5  47.6  52.4
201902  49.3  49.2  55.7
201901  50.5  50.5  54.0
201812  51.4  51.4  54.2
201811  51.8  51.5  53.5
201810  52.0  52.1  57.3
201809  53.2  53.3  53.8
201808  54.6  54.6  56.2
201807  55.1  55.1  53.1
201806  54.9  55.0  53.0
201805  55.5  55.5  55.4
201804  56.2  56.0  53.3
201803  56.6  56.6  57.0
201802  58.6  58.5  57.4
201801  59.6  59.6  60.9
201712  60.6  60.6  60.0
201711  60.1  60.0  58.6
201710  58.5  58.6  58.3
201709  58.1  58.2  59.3
201708  57.4  57.4  56.6
201707  56.6  56.8  54.2
201706  57.4  57.3  57.2
201705  57.0  57.0  62.1
201704  56.7  56.8  55.9
201703  56.2  56.2  56.0
201702  55.4  55.5  59.5
201701  55.2  55.1  56.5
201612  54.9  54.9  52.2
201611  53.7  53.7  56.6
201610  53.5  53.3  57.0
201609  52.6  52.6  57.0
201608  51.7  51.8  51.3
201607  52.0  51.9  53.9
201606  52.8  52.6  50.9
201605  51.5  51.5  52.3
201604  51.7  51.5  52.2
201603  51.6  51.4  51.7
201602  51.2  51.0  54.8
201601  52.3  52.3  53.0
201512  53.2  53.1  49.1
201511  52.8  52.8  56.2
201510  52.3  52.0  55.3
201509  52.0  52.0  55.8
201508  52.3  52.4  50.7
201507  52.4  52.2  50.0
201506  52.5  52.5  55.1
201505  52.2  52.3  55.1
201504  52.0  51.9  51.0
201503  52.2  51.9  55.6
201502  51.0  51.1  54.9
201501  51.0  51.0  54.2
201412  50.6  50.8  50.7
201411  50.1  50.4  55.1
201410  50.6  50.7  54.9
201409  50.3  50.5  52.6
