股票代码,股票简称
000001,平安银行
000034,神州数码
000035,中国天楹
000039,中集集团
000063,中兴通讯
000066,中国长城
000100,TCL科技
000157,中联重科
000301,东方盛虹
000333,美的集团
000338,潍柴动力
000400,许继电气
000408,藏格矿业
000423,东阿阿胶
000425,徐工机械
000519,中兵红箭
000538,云南白药
000547,航天发展
000568,泸州老窖
000591,太阳能
000623,吉林敖东
000625,长安汽车
000629,钒钛股份
000630,铜陵有色
000651,格力电器
000661,长春高新
000683,远兴能源
000690,宝新能源
000708,中信特钢
000725,京东方A
000733,振华科技
000738,航发控制
000768,中航西飞
000786,北新建材
000792,盐湖股份
000807,云铝股份
000818,航锦科技
000830,鲁西化工
000831,中国稀土
000858,五 粮 液
000878,云南铜业
000887,中鼎股份
000932,华菱钢铁
000933,神火股份
000938,紫光股份
000960,锡业股份
000963,华东医药
000967,盈峰环境
000975,银泰黄金
000977,浪潮信息
000988,华工科技
000998,隆平高科
000999,华润三九
001914,招商积余
001979,招商蛇口
002001,新和成
002007,华兰生物
002008,大族激光
002025,航天电器
002027,分众传媒
002028,思源电气
002044,美年健康
002049,紫光国微
002050,三花智控
002064,华峰化学
002065,东华软件
002074,国轩高科
002078,太阳纸业
002080,中材科技
002081,金螳螂
002085,万丰奥威
002091,江苏国泰
002120,韵达股份
002123,梦网科技
002129,TCL中环
002131,利欧股份
002138,顺络电子
002145,中核钛白
002151,北斗星通
002152,广电运通
002156,通富微电
002176,江特电机
002179,中航光电
002180,纳思达
002185,华天科技
002192,融捷股份
002195,岩山科技
002202,金风科技
002212,天融信
002223,鱼跃医疗
002230,科大讯飞
002236,大华股份
002240,盛新锂能
002241,歌尔股份
002245,蔚蓝锂芯
002252,上海莱士
002266,浙富控股
002268,电科网安
002271,东方雨虹
002273,水晶光电
002281,光迅科技
002292,奥飞娱乐
002294,信立泰
002304,洋河股份
002312,川发龙蟒
002340,格林美
002352,顺丰控股
002353,杰瑞股份
002368,太极股份
002371,北方华创
002372,伟星新材
002384,东山精密
002389,航天彩虹
002396,星网锐捷
002405,四维图新
002407,多氟多
002409,雅克科技
002410,广联达
002414,高德红外
002415,海康威视
002422,科伦药业
002432,九安医疗
002436,兴森科技
002439,启明星辰
002444,巨星科技
002456,欧菲光
002459,晶澳科技
002460,赣锋锂业
002463,沪电股份
002465,海格通信
002466,天齐锂业
002472,双环传动
002475,立讯精密
002493,荣盛石化
002497,雅化集团
002508,老板电器
002511,中顺洁柔
002517,恺英网络
002532,天山铝业
002541,鸿路钢构
002544,普天科技
002555,三七互娱
002558,巨人网络
002572,索菲亚
002594,比亚迪
002601,龙佰集团
002602,世纪华通
002603,以岭药业
002607,中公教育
002624,完美世界
002625,光启技术
002648,卫星化学
002709,天赐材料
002714,牧原股份
002738,中矿资源
002739,万达电影
002756,永兴材料
002791,坚朗五金
002812,恩捷股份
002821,凯莱英
002831,裕同科技
002841,视源股份
002916,深南电路
002920,德赛西威
002938,鹏鼎控股
003816,中国广核
300001,特锐德
300002,神州泰岳
300003,乐普医疗
300012,华测检测
300014,亿纬锂能
300015,爱尔眼科
300017,网宿科技
300024,机器人
300033,同花顺
300037,新宙邦
300054,鼎龙股份
300058,蓝色光标
300059,东方财富
300068,南都电源
300070,碧水源
300073,当升科技
300088,长信科技
300118,东方日升
300122,智飞生物
300124,汇川技术
300133,华策影视
300136,信维通信
300142,沃森生物
300144,宋城演艺
300182,捷成股份
300207,欣旺达
300212,易华录
300223,北京君正
300251,光线传媒
300253,卫宁健康
300274,阳光电源
300285,国瓷材料
300296,利亚德
300308,中际旭创
300315,掌趣科技
300316,晶盛机电
300339,润和软件
300346,南大光电
300347,泰格医药
300383,光环新网
300390,天华新能
300394,天孚通信
300395,菲利华
300408,三环集团
300413,芒果超媒
300418,昆仑万维
300433,蓝思科技
300438,鹏辉能源
300450,先导智能
300454,深信服
300457,赢合科技
300459,汤姆猫
300474,景嘉微
300496,中科创达
300502,新易盛
300529,健帆生物
300558,贝达药业
300567,精测电子
300568,星源材质
300573,兴齐眼药
300595,欧普康视
300601,康泰生物
300604,长川科技
300627,华测导航
300628,亿联网络
300661,圣邦股份
300676,华大基因
300699,光威复材
300724,捷佳伟创
300750,宁德时代
300751,迈为股份
300759,康龙化成
300760,迈瑞医疗
300763,锦浪科技
300769,德方纳米
300782,卓胜微
300832,新产业
300866,安克创新
300896,爱美客
300919,中伟股份
301236,软通动力
301558,三态股份
600000,浦发银行
600004,白云机场
600007,中国国贸
600008,首创环保
600009,上海机场
600010,包钢股份
600011,华能国际
600018,上港集团
600019,宝钢股份
600026,中远海能
600027,华电国际
600028,中国石化
600029,南方航空
600030,中信证券
600031,三一重工
600036,招商银行
600038,中直股份
600039,四川路桥
600050,中国联通
600066,宇通客车
600085,同仁堂
600089,特变电工
600096,云天化
600104,上汽集团
600111,北方稀土
600115,中国东航
600118,中国卫星
600129,太极集团
600131,国网信通
600141,兴发集团
600143,金发科技
600150,中国船舶
600153,建发股份
600157,永泰能源
600160,巨化股份
600161,天坛生物
600166,福田汽车
600167,联美控股
600170,上海建工
600176,中国巨石
600177,雅戈尔
600183,生益科技
600188,兖矿能源
600196,复星医药
600219,南山铝业
600233,圆通速递
600256,广汇能源
600258,首旅酒店
600276,恒瑞医药
600309,万华化学
600316,洪都航空
600323,瀚蓝环境
600325,华发股份
600332,白云山
600346,恒力石化
600352,浙江龙盛
600362,江西铜业
600372,中航机载
600392,盛和资源
600398,海澜之家
600399,抚顺特钢
600406,国电南瑞
600415,小商品城
600418,江淮汽车
600426,华鲁恒升
600436,片仔癀
600438,通威股份
600460,士兰微
600482,中国动力
600486,扬农化工
600489,中金黄金
600497,驰宏锌锗
600498,烽火通信
600499,科达制造
600515,海南机场
600516,方大炭素
600519,贵州茅台
600521,华海药业
600529,山东药玻
600535,天士力
600547,山东黄金
600549,厦门钨业
600563,法拉电子
600570,恒生电子
600584,长电科技
600585,海螺水泥
600588,用友网络
600637,东方明珠
600655,豫园股份
600660,福耀玻璃
600667,太极实业
600674,川投能源
600690,海尔智家
600699,均胜电子
600704,物产中大
600741,华域汽车
600745,闻泰科技
600754,锦江酒店
600755,厦门国贸
600760,中航沈飞
600763,通策医疗
600765,中航重机
600771,广誉远
600795,国电电力
600803,新奥股份
600816,建元信托
600820,隧道股份
600839,四川长虹
600845,宝信软件
600859,王府井
600862,中航高科
600867,通化东宝
600879,航天电子
600884,杉杉股份
600885,宏发股份
600886,国投电力
600887,伊利股份
600893,航发动力
600895,张江高科
600900,长江电力
600905,三峡能源
600919,江苏银行
600938,中国海油
600941,中国移动
600959,江苏有线
600988,赤峰黄金
600989,宝丰能源
600998,九州通
601006,大秦铁路
601012,隆基绿能
601021,春秋航空
601058,赛轮轮胎
601088,中国神华
601100,恒立液压
601111,中国国航
601117,中国化学
601155,新城控股
601166,兴业银行
601168,西部矿业
601186,中国铁建
601216,君正集团
601225,陕西煤业
601233,桐昆股份
601238,广汽集团
601288,农业银行
601318,中国平安
601360,三六零
601390,中国中铁
601398,工商银行
601600,中国铝业
601601,中国太保
601607,上海医药
601615,明阳智能
601618,中国中冶
601633,长城汽车
601636,旗滨集团
601658,邮储银行
601668,中国建筑
601669,中国电建
601677,明泰铝业
601689,拓普集团
601727,上海电气
601728,中国电信
601766,中国中车
601799,星宇股份
601800,中国交建
601816,京沪高铁
601857,中国石油
601866,中远海发
601868,中国能建
601872,招商轮船
601877,正泰电器
601880,辽港股份
601888,中国中免
601899,紫金矿业
601919,中远海控
601966,玲珑轮胎
601985,中国核电
601988,中国银行
601989,中国重工
603000,人民网
603019,中科曙光
603077,和邦生物
603129,春风动力
603156,养元饮品
603236,移远通信
603259,药明康德
603260,合盛硅业
603288,海天味业
603290,斯达半导
603392,万泰生物
603444,吉比特
603456,九洲药业
603486,科沃斯
603501,韦尔股份
603568,伟明环保
603588,高能环境
603596,伯特利
603605,珀莱雅
603606,东方电缆
603613,国联股份
603650,彤程新材
603659,璞泰来
603688,石英股份
603737,三棵树
603799,华友钴业
603806,福斯特
603816,顾家家居
603833,欧派家居
603882,金域医学
603885,吉祥航空
603899,晨光股份
603939,益丰药房
603986,兆易创新
603993,洛阳钼业
605117,德业股份
605358,立昂微
