股票代码,购买信号,行情地址,备注
688981,-2,https://xueqiu.com/S/SH688981,
688599,-2,https://xueqiu.com/S/SH688599,
688561,-60,https://xueqiu.com/S/SH688561,
688396,-2,https://xueqiu.com/S/SH688396,
688363,-60,https://xueqiu.com/S/SH688363,
688303,-2,https://xueqiu.com/S/SH688303,
688223,-2,https://xueqiu.com/S/SH688223,
688187,-2,https://xueqiu.com/S/SH688187,
688126,-2,https://xueqiu.com/S/SH688126,
688111,-60,https://xueqiu.com/S/SH688111,
688065,-2,https://xueqiu.com/S/SH688065,
688036,-60,https://xueqiu.com/S/SH688036,
688012,-60,https://xueqiu.com/S/SH688012,
688008,-2,https://xueqiu.com/S/SH688008,
688005,-2,https://xueqiu.com/S/SH688005,
605499,-60,https://xueqiu.com/S/SH605499,
605117,-60,https://xueqiu.com/S/SH605117,
603993,-2,https://xueqiu.com/S/SH603993,
603986,-60,https://xueqiu.com/S/SH603986,
603899,-2,https://xueqiu.com/S/SH603899,
603833,-60,https://xueqiu.com/S/SH603833,
603806,-2,https://xueqiu.com/S/SH603806,
603799,-2,https://xueqiu.com/S/SH603799,
603659,-2,https://xueqiu.com/S/SH603659,
603501,-60,https://xueqiu.com/S/SH603501,
603486,-60,https://xueqiu.com/S/SH603486,
603392,-60,https://xueqiu.com/S/SH603392,
603369,-2,https://xueqiu.com/S/SH603369,
603290,-60,https://xueqiu.com/S/SH603290,
603288,-2,https://xueqiu.com/S/SH603288,
603260,-60,https://xueqiu.com/S/SH603260,
603259,-60,https://xueqiu.com/S/SH603259,
603195,-60,https://xueqiu.com/S/SH603195,
603185,-60,https://xueqiu.com/S/SH603185,
603019,2,https://xueqiu.com/S/SH603019,
601998,-2,https://xueqiu.com/S/SH601998,
601995,-2,https://xueqiu.com/S/SH601995,
601989,2,https://xueqiu.com/S/SH601989,
601988,-1,https://xueqiu.com/S/SH601988,
601985,-2,https://xueqiu.com/S/SH601985,
601939,-2,https://xueqiu.com/S/SH601939,
601919,-2,https://xueqiu.com/S/SH601919,
601901,-2,https://xueqiu.com/S/SH601901,
601899,-2,https://xueqiu.com/S/SH601899,
601898,-2,https://xueqiu.com/S/SH601898,
601888,-60,https://xueqiu.com/S/SH601888,
601881,2,https://xueqiu.com/S/SH601881,
601878,-2,https://xueqiu.com/S/SH601878,
601877,-2,https://xueqiu.com/S/SH601877,
601872,-2,https://xueqiu.com/S/SH601872,
601868,-2,https://xueqiu.com/S/SH601868,
601865,-2,https://xueqiu.com/S/SH601865,
601857,2,https://xueqiu.com/S/SH601857,
601838,-2,https://xueqiu.com/S/SH601838,
601818,-2,https://xueqiu.com/S/SH601818,
601816,-2,https://xueqiu.com/S/SH601816,
601808,-2,https://xueqiu.com/S/SH601808,
601800,-2,https://xueqiu.com/S/SH601800,
601799,-60,https://xueqiu.com/S/SH601799,
601788,2,https://xueqiu.com/S/SH601788,
601766,-2,https://xueqiu.com/S/SH601766,
601728,-2,https://xueqiu.com/S/SH601728,
601699,-2,https://xueqiu.com/S/SH601699,
601698,-2,https://xueqiu.com/S/SH601698,
601689,-60,https://xueqiu.com/S/SH601689,
601688,1,https://xueqiu.com/S/SH601688,
601669,-2,https://xueqiu.com/S/SH601669,
601668,-2,https://xueqiu.com/S/SH601668,
601658,-2,https://xueqiu.com/S/SH601658,
601633,-2,https://xueqiu.com/S/SH601633,
601628,-2,https://xueqiu.com/S/SH601628,
601618,-2,https://xueqiu.com/S/SH601618,
601615,-2,https://xueqiu.com/S/SH601615,
601607,-2,https://xueqiu.com/S/SH601607,
601601,-2,https://xueqiu.com/S/SH601601,
601600,-2,https://xueqiu.com/S/SH601600,
601398,-1,https://xueqiu.com/S/SH601398,
601390,-2,https://xueqiu.com/S/SH601390,
601377,-2,https://xueqiu.com/S/SH601377,
601360,-2,https://xueqiu.com/S/SH601360,
601336,-1,https://xueqiu.com/S/SH601336,
601328,2,https://xueqiu.com/S/SH601328,
601319,-1,https://xueqiu.com/S/SH601319,
601318,0,https://xueqiu.com/S/SH601318,
601288,2,https://xueqiu.com/S/SH601288,
601238,-2,https://xueqiu.com/S/SH601238,
601236,-2,https://xueqiu.com/S/SH601236,
601229,-2,https://xueqiu.com/S/SH601229,
601225,-2,https://xueqiu.com/S/SH601225,
601216,-2,https://xueqiu.com/S/SH601216,
601211,-2,https://xueqiu.com/S/SH601211,
601186,-2,https://xueqiu.com/S/SH601186,
601169,-2,https://xueqiu.com/S/SH601169,
601166,-2,https://xueqiu.com/S/SH601166,
601155,-2,https://xueqiu.com/S/SH601155,
601138,2,https://xueqiu.com/S/SH601138,
601117,-2,https://xueqiu.com/S/SH601117,
601111,-2,https://xueqiu.com/S/SH601111,
601100,-60,https://xueqiu.com/S/SH601100,
601088,0,https://xueqiu.com/S/SH601088,
601066,-2,https://xueqiu.com/S/SH601066,
601021,-2,https://xueqiu.com/S/SH601021,
601012,-2,https://xueqiu.com/S/SH601012,
601009,-2,https://xueqiu.com/S/SH601009,
601006,-2,https://xueqiu.com/S/SH601006,
600999,-2,https://xueqiu.com/S/SH600999,
600989,-2,https://xueqiu.com/S/SH600989,
600958,-2,https://xueqiu.com/S/SH600958,
600941,-60,https://xueqiu.com/S/SH600941,
600926,-2,https://xueqiu.com/S/SH600926,
600919,-2,https://xueqiu.com/S/SH600919,
600918,-2,https://xueqiu.com/S/SH600918,
600905,-2,https://xueqiu.com/S/SH600905,
600900,-1,https://xueqiu.com/S/SH600900,
600893,-2,https://xueqiu.com/S/SH600893,
600887,-2,https://xueqiu.com/S/SH600887,
600886,2,https://xueqiu.com/S/SH600886,
600884,-2,https://xueqiu.com/S/SH600884,
600875,-2,https://xueqiu.com/S/SH600875,
600845,2,https://xueqiu.com/S/SH600845,
600837,0,https://xueqiu.com/S/SH600837,
600809,-60,https://xueqiu.com/S/SH600809,
600803,-2,https://xueqiu.com/S/SH600803,
600795,-2,https://xueqiu.com/S/SH600795,
